card_id	german	tatoeba_attribution
x20092	kriegen	CC-BY 2.0 (France) Attribution: tatoeba.org #2547752 (CK) & #6643639 (Felixjp)
x20093	darüber	CC-BY 2.0 (France) Attribution: tatoeba.org #7917299 (Hybrid) & #8648589 (Melang)
x20094	dazu	CC-BY 2.0 (France) Attribution: tatoeba.org #2644638 (CK) & #6645245 (Felixjp)
x20095	daran	CC-BY 2.0 (France) Attribution: tatoeba.org #3727513 (CM) & #5430898 (Zaghawa)
x20096	schreiben	CC-BY 2.0 (France) Attribution: tatoeba.org #1586723 (Gulliver) & #1585717 (Esperantostern)
x20097	Baby	CC-BY 2.0 (France) Attribution: tatoeba.org #1439119 (quickfitter) & #1045075 (Esperantostern)
x20098	Name	CC-BY 2.0 (France) Attribution: tatoeba.org #263221 (CK) & #3321615 (Zaghawa)
x20099	Glück	CC-BY 2.0 (France) Attribution: tatoeba.org #69674 (CK) & #342192 (lilygilder)
x20100	all	CC-BY 2.0 (France) Attribution: tatoeba.org #61586 (CK) & #1494161 (riotlake)
x20101	darauf	CC-BY 2.0 (France) Attribution: tatoeba.org #2645587 (CK) & #6645246 (Felixjp)
x20102	Ende	CC-BY 2.0 (France) Attribution: tatoeba.org #442006 (CK) & #846884 (jakov)
x20103	bald	CC-BY 2.0 (France) Attribution: tatoeba.org #508295 (CM) & #508432 (Huluk)
x20104	bedeuten	CC-BY 2.0 (France) Attribution: tatoeba.org #3286853 (CK) & #3894677 (Zaghawa)
x20105	Kerl	CC-BY 2.0 (France) Attribution: tatoeba.org #25349 (CM) & #404212 (xtofu80)
x20106	Schwester	CC-BY 2.0 (France) Attribution: tatoeba.org #5025979 (don_ramon) & #4042414 (Pfirsichbaeumchen)
x20107	kümmern	CC-BY 2.0 (France) Attribution: tatoeba.org #2194561 (Hybrid) & #7285743 (Pfirsichbaeumchen)
x20108	Schatz	CC-BY 2.0 (France) Attribution: tatoeba.org #2185162 (Hybrid) & #2185303 (Pfirsichbaeumchen)
x20109	Waffe	CC-BY 2.0 (France) Attribution: tatoeba.org #12209408 (CK) & #12668715 (Waldelfe)
x20110	legen	CC-BY 2.0 (France) Attribution: tatoeba.org #9465188 (CK) & #9465335 (Pfirsichbaeumchen)
x20111	Polizei	CC-BY 2.0 (France) Attribution: tatoeba.org #5090001 (CK) & #10056756 (wolfgangth)
x20112	Tochter	CC-BY 2.0 (France) Attribution: tatoeba.org #1943922 (Spamster) & #3597321 (Zaghawa)
x20113	lesen	CC-BY 2.0 (France) Attribution: tatoeba.org #12098368 (sundown) & #7726738 (brauchinet)
x20114	bestimmen	CC-BY 2.0 (France) Attribution: tatoeba.org #2133893 (Hybrid) & #10520379 (Pfirsichbaeumchen)
x20115	scheinen	CC-BY 2.0 (France) Attribution: tatoeba.org #1448112 (CM) & #1448217 (al_ex_an_der)
x20116	runter	CC-BY 2.0 (France) Attribution: tatoeba.org #2270394 (CK) & #6644929 (Felixjp)
x20117	sitzen	CC-BY 2.0 (France) Attribution: tatoeba.org #3222947 (CK) & #8264181 (sadjad)
x20118	dran	CC-BY 2.0 (France) Attribution: tatoeba.org #1771105 (Amastan) & #1771669 (Pfirsichbaeumchen)
x20119	lachen	CC-BY 2.0 (France) Attribution: tatoeba.org #3123007 (CK) & #3843404 (Zaghawa)
x20120	darum	CC-BY 2.0 (France) Attribution: tatoeba.org #2892264 (CK) & #1297762 (al_ex_an_der)
x20121	umbringen	CC-BY 2.0 (France) Attribution: tatoeba.org #1956007 (Spamster) & #1987997 (Pfirsichbaeumchen)
x20122	Teufel	CC-BY 2.0 (France) Attribution: tatoeba.org #27518 (CK) & #460152 (landano)
x20123	kurz	CC-BY 2.0 (France) Attribution: tatoeba.org #270532 (CK) & #424256 (MUIRIEL)
x20124	woher	CC-BY 2.0 (France) Attribution: tatoeba.org #3096411 (CK) & #5331281 (Sudajaengi)
x20125	lang	CC-BY 2.0 (France) Attribution: tatoeba.org #250338 (CK) & #603529 (kolonjano)
x20126	Art	CC-BY 2.0 (France) Attribution: tatoeba.org #43189 (CM) & #628062 (BraveSentry)
x20127	Mama	CC-BY 2.0 (France) Attribution: tatoeba.org #1887880 (CK) & #1888598 (Pfirsichbaeumchen)
x20128	hoch	CC-BY 2.0 (France) Attribution: tatoeba.org #301757 (CK) & #1878545 (samueldora)
x20129	freuen	CC-BY 2.0 (France) Attribution: tatoeba.org #5551411 (CK) & #5552017 (Pfirsichbaeumchen)
x20130	erwarten	CC-BY 2.0 (France) Attribution: tatoeba.org #1433037 (CK) & #1433033 (Manfredo)
x20131	bitten	CC-BY 2.0 (France) Attribution: tatoeba.org #9495885 (CK) & #9496371 (Pfirsichbaeumchen)
x20132	heiraten	CC-BY 2.0 (France) Attribution: tatoeba.org #1887283 (CK) & #3042427 (freddy1)
x20133	fällen	CC-BY 2.0 (France) Attribution: tatoeba.org #3502165 (CK) & #3506273 (Pfirsichbaeumchen)
x20134	Schau	CC-BY 2.0 (France) Attribution: tatoeba.org #22070 (CK) & #7277124 (Yorwba)
x20135	Land	CC-BY 2.0 (France) Attribution: tatoeba.org #2548883 (CK) & #12544774 (Waldelfe)
x20136	Teil	CC-BY 2.0 (France) Attribution: tatoeba.org #1550035 (Spamster) & #1550070 (Pfirsichbaeumchen)
x20137	niemals	CC-BY 2.0 (France) Attribution: tatoeba.org #2954455 (CK) & #6905062 (raggione)
x20138	Ort	CC-BY 2.0 (France) Attribution: tatoeba.org #3311027 (CK) & #3497363 (Zaghawa)
x20139	benutzen	CC-BY 2.0 (France) Attribution: tatoeba.org #251094 (CK) & #1540521 (Zaghawa)
x20140	Plan	CC-BY 2.0 (France) Attribution: tatoeba.org #3446886 (CK) & #1208765 (Espi)
x20141	wiedersehen	CC-BY 2.0 (France) Attribution: tatoeba.org #3826873 (CK) & #8826358 (wolfgangth)
x20142	Hund	CC-BY 2.0 (France) Attribution: tatoeba.org #3009014 (CM) & #3052258 (brauchinet)
x20143	Entschuldigung	CC-BY 2.0 (France) Attribution: tatoeba.org #2291574 (CK) & #3091821 (Manfredo)
x20144	euer	CC-BY 2.0 (France) Attribution: tatoeba.org #5797542 (Eccles17) & #5797705 (Pfirsichbaeumchen)
x20145	Nummer	CC-BY 2.0 (France) Attribution: tatoeba.org #9074748 (CK) & #11993844 (mhr)
x20146	Film	CC-BY 2.0 (France) Attribution: tatoeba.org #2320 (Eldad) & #1155 (MUIRIEL)
x20147	beginnen	CC-BY 2.0 (France) Attribution: tatoeba.org #703347 (papabear) & #403648 (MUIRIEL)
x20148	drauf	CC-BY 2.0 (France) Attribution: tatoeba.org #1845486 (CK) & #1846533 (Pfirsichbaeumchen)
x20149	Papa	CC-BY 2.0 (France) Attribution: tatoeba.org #6054185 (Sethlang) & #6111182 (BlundaInte)
