# Sense-specific CEFR judgements on individual cards.
#
# The deck's A1-C2 labels came from bulk import, not from reading each card, and
# the bulk was wrong in both directions. This file is the record of what has been
# decided about every card -- including the ones left alone, because "reviewed and
# correct" and "never reviewed" are different states and only one of them is
# worth revisiting.
#
# It is authoritative. tool/apply_relevelling.py writes these levels into
# lib/vocabulary*.dart, and tool/check_relevelling.py fails the build if the
# source and this file disagree, so a later bulk edit cannot quietly undo a
# judgement recorded here.
#
# The `basis` column says how a row was decided and must not be blurred:
#
#   hand    a person read the card. These win over anything derived.
#   corpus  derived by tool/cefr_evidence.py from the level of the bundled
#           material that uses the word. It reproduces 22 of the 23 hand
#           judgements, which is why it is trusted enough to record; it is
#           still marked derived, because agreeing with a human is not the
#           same as being one.
#
# A row whose `to` equals its `from` is a deliberate keep, not a no-op.
#
# id<TAB>german<TAB>from<TAB>to<TAB>basis<TAB>why
130	Unterschied	B1	B1	corpus	material agrees, first used in B1
131	Beziehung	B1	B1	corpus	no bundled material uses this word
132	Gewohnheit	B1	B1	corpus	material agrees, first used in C2
133	Umgebung	B1	B1	corpus	no bundled material uses this word
134	Vorteil	B1	B1	corpus	no bundled material uses this word
135	Nachteil	B1	B1	corpus	no bundled material uses this word
136	Meinung	B1	B1	corpus	material agrees, first used in B1
137	Teilnahme	B1	B1	corpus	material agrees, first used in B1
138	Voraussetzung	B1	B1	corpus	material agrees, first used in B1
139	Unterstützung	B1	B1	corpus	no bundled material uses this word
140	Veranstaltung	B1	B1	corpus	material agrees, first used in C1
141	Versicherung	B1	B1	corpus	material agrees, first used in B1
142	Bewerbung	B1	B1	corpus	no bundled material uses this word
143	Fortschritt	B1	B1	corpus	material agrees, first used in C2
144	Auswirkung	B2	B2	corpus	no bundled material uses this word
145	Herausforderung	B2	B2	corpus	no bundled material uses this word
146	Maßnahme	B2	B2	corpus	material agrees, first used in B2
147	Fähigkeit	B2	B2	corpus	no bundled material uses this word
148	Kenntnis	B2	B2	corpus	material agrees, first used in C2
149	Zusammenarbeit	B2	B2	corpus	material agrees, first used in B2
150	Anforderung	B2	B2	corpus	no bundled material uses this word
151	Veränderung	B2	B2	corpus	no bundled material uses this word
152	Ursache	B2	B2	corpus	material agrees, first used in B2
153	Folge	B2	B1	corpus	used 3 times in B1 material
154	Zusammenhang	B2	B2	corpus	material agrees, first used in B2
155	Behauptung	B2	B2	corpus	material agrees, first used in C1
156	Beleg	B2	B2	corpus	material agrees, first used in B2
157	Rücksicht	B2	B2	corpus	no bundled material uses this word
158	Rückmeldung	B2	B2	corpus	material agrees, first used in B2
159	Vereinbarung	B2	B2	corpus	no bundled material uses this word
160	Beschwerde	B2	B2	corpus	no bundled material uses this word
161	Leistung	B2	B2	corpus	material agrees, first used in C1
162	Zustimmung	B2	B2	corpus	material agrees, first used in B2
163	Widerspruch	B2	B2	corpus	material agrees, first used in C1
164	Vorgehensweise	C1	C1	corpus	no bundled material uses this word
165	Einschätzung	C1	B2	corpus	used 4 times in B2 material
166	Abwägung	C1	C1	corpus	material agrees, first used in C1
167	Wahrnehmung	C1	C1	corpus	material agrees, first used in C2
168	Nachhaltigkeit	C1	C1	corpus	no bundled material uses this word
169	Glaubwürdigkeit	C1	C1	corpus	no bundled material uses this word
170	Zuverlässigkeit	C1	C1	corpus	no bundled material uses this word
171	Umsetzbarkeit	C1	C1	corpus	no bundled material uses this word
172	Tragweite	C1	C1	corpus	no bundled material uses this word
173	Auseinandersetzung	C1	C1	corpus	no bundled material uses this word
174	Stellungnahme	C1	B2	corpus	used 2 times in B2 material
175	Sachverhalt	C1	C1	corpus	material agrees, first used in C1
176	Rahmenbedingung	C1	C1	corpus	no bundled material uses this word
177	Zielsetzung	C1	C1	corpus	no bundled material uses this word
178	Aussagekraft	C1	C1	corpus	material agrees, first used in C1
179	Herangehensweise	C1	C1	corpus	no bundled material uses this word
180	Folgerung	C1	C1	corpus	no bundled material uses this word
181	Priorität	C1	C1	corpus	no bundled material uses this word
182	Verbindlichkeit	C1	C1	corpus	no bundled material uses this word
183	Angemessenheit	C1	C1	corpus	no bundled material uses this word
184	Mehrdeutigkeit	C2	C2	corpus	material agrees, first used in C2
185	Nuance	C2	C2	corpus	material agrees, first used in C2
186	Implikation	C2	C2	corpus	no bundled material uses this word
187	Prämisse	C2	C2	corpus	no bundled material uses this word
188	Plausibilität	C2	C2	corpus	no bundled material uses this word
189	Verhältnismäßigkeit	C2	C2	corpus	no bundled material uses this word
190	Wechselwirkung	C2	C2	corpus	no bundled material uses this word
191	Diskrepanz	C2	C2	corpus	no bundled material uses this word
192	Kohärenz	C2	C2	corpus	no bundled material uses this word
193	Differenzierung	C2	C2	corpus	no bundled material uses this word
194	Trennschärfe	C2	C2	corpus	no bundled material uses this word
195	Belastbarkeit	C2	C2	corpus	no bundled material uses this word
196	Übertragbarkeit	C2	C2	corpus	no bundled material uses this word
197	Unwägbarkeit	C2	C2	corpus	no bundled material uses this word
198	Auslegung	C2	C2	corpus	no bundled material uses this word
199	Zuschreibung	C2	C2	corpus	material agrees, first used in C2
200	Legitimität	C2	C2	corpus	no bundled material uses this word
201	Stringenz	C2	C2	corpus	no bundled material uses this word
202	Evidenz	C2	C2	corpus	material agrees, first used in C2
203	Zweckmäßigkeit	C2	C2	corpus	no bundled material uses this word
x10001	Hallo	A1	A1	corpus	material agrees, first used in A1
x10002	Tschüss	A1	A1	corpus	material agrees, first used in A1
x10003	bitte	A1	A1	corpus	material agrees, first used in A1
x10004	danke	A1	A1	corpus	material agrees, first used in A1
x10005	gern	A1	A1	corpus	material agrees, first used in A1
x10006	Entschuldigung	A1	A1	corpus	material agrees, first used in A1
x10007	heißen	A1	A1	corpus	no bundled material uses this word
x10008	kommen	A1	A1	corpus	material agrees, first used in A1
x10009	wohnen	A1	A1	corpus	material agrees, first used in A1
x10010	arbeiten	A1	A1	corpus	material agrees, first used in A1
x10011	lernen	A1	A1	corpus	material agrees, first used in A1
x10012	sprechen	A1	A1	corpus	material agrees, first used in A1
x10013	verstehen	A1	A1	corpus	material agrees, first used in C2
x10014	fragen	A1	A1	corpus	material agrees, first used in A1
x10015	antworten	A1	A1	corpus	material agrees, first used in B2
x10016	sagen	A1	A1	corpus	material agrees, first used in A1
x10017	machen	A1	A1	corpus	material agrees, first used in A1
x10018	gehen	A1	A1	corpus	material agrees, first used in A1
x10019	fahren	A1	A1	corpus	material agrees, first used in A1
x10020	bleiben	A1	A1	corpus	material agrees, first used in A1
x10021	kaufen	A1	A1	corpus	material agrees, first used in A1
x10022	bezahlen	A1	A1	corpus	material agrees, first used in A1
x10023	kosten	A1	A1	corpus	material agrees, first used in A2
x10024	essen	A1	A1	corpus	material agrees, first used in A1
x10025	trinken	A1	A1	corpus	material agrees, first used in A1
